study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA624030	SRP255796	SAMN14565173	SRS6454290	SRX8086813	SRR11515127	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	28O		PAIRED	AMPLICON	METAGENOMIC	PCR	39459	22751576	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	28O	515YF-926R-P3-50-28O_R1.fastq.gz	5073705;7291052	e38b25a14a8a0016aded54b61e9ac94e;9bc1b3bff8f3f1c399b53462ac8d13b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/027/SRR11515127/SRR11515127_2.fastq.gz							13547108	ea51b431a17408cc4ed9d7926f5010d0	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/027/SRR11515127	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/027/SRR11515127	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/027/SRR11515127				28O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565172	SRS6454289	SRX8086812	SRR11515128	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	7O		PAIRED	AMPLICON	METAGENOMIC	PCR	9921	5744092	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	7O	515YF-926R-P2-50-7O_R1.fastq.gz	1372635;1903789	ba94cc6f47d400f014511e11867b4293;235864d9409321c5ed66ba15a332fa0d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/028/SRR11515128/SRR11515128_2.fastq.gz							3496770	e3d777567adc88a46140ae22345f8564	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/028/SRR11515128	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/028/SRR11515128	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/028/SRR11515128				7O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565171	SRS6454288	SRX8086811	SRR11515129	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	2O		PAIRED	AMPLICON	METAGENOMIC	PCR	11000	6388440	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	2O	515YF-926R-P2-50-2O_R1.fastq.gz	1472385;2105464	2278c8cc3acd36f0549ecb9a24425f90;93208ca67444eeeca2bb5d8c091c9d90	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/029/SRR11515129/SRR11515129_2.fastq.gz							3939923	1ac2e7978fe4f42553491069583ad5d4	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/029/SRR11515129	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/029/SRR11515129	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/029/SRR11515129				2O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565170	SRS6454287	SRX8086810	SRR11515130	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	26O		PAIRED	AMPLICON	METAGENOMIC	PCR	62405	35847886	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	26O	515YF-926R-P2-50-26O_R1.fastq.gz	7865329;11359316	e4fde1dc4da5b67c211de952c2152682;6b939153b7c7aa392ae204ed3cb8d913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/030/SRR11515130/SRR11515130_2.fastq.gz							21565616	4aa93902bb12e873640470898a1837ad	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/030/SRR11515130	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/030/SRR11515130	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/030/SRR11515130				26O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565169	SRS6454286	SRX8086809	SRR11515131	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	11O		PAIRED	AMPLICON	METAGENOMIC	PCR	19823	11436975	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	11O	515YF-926R-P2-50-11O_R1.fastq.gz	2669348;3724422	dd64739cc03a58007f28170b2b9d0e8f;406c7a66877748ed0b3856f986b3a673	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/031/SRR11515131/SRR11515131_2.fastq.gz							6875989	3903602dc93585f0e01bee585245ffd2	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/031/SRR11515131	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/031/SRR11515131	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/031/SRR11515131				11O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565168	SRS6454285	SRX8086808	SRR11515132	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	6O		PAIRED	AMPLICON	METAGENOMIC	PCR	16408	9498847	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	6O	515YF-926R-P1-50-6O_R1.fastq.gz	2419037;3299284	9ecceafd0ba1c2e9f51c5f3875a73aca;3a4edc6d6e4956e5e14875a7f1368c84	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/032/SRR11515132/SRR11515132_2.fastq.gz							5808983	a7de0c530736d302991794ece8728f50	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/032/SRR11515132	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/032/SRR11515132	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/032/SRR11515132				6O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565132	SRS6454283	SRX8086807	SRR11515133	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	6A		PAIRED	AMPLICON	METAGENOMIC	PCR	67724	39178682	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	6A	515YF-926R-P1-50-6A_R1.fastq.gz	9864503;13495266	8cc5a9f39eaa8ffce0a9f07d9a3b9ec8;4b0329c167461bc68043b10c931ae1f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/033/SRR11515133/SRR11515133_2.fastq.gz							23705604	c9a8b9d466b9073b71cf01754d67d42e	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/033/SRR11515133	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/033/SRR11515133	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/033/SRR11515133				6A		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565167	SRS6454284	SRX8086806	SRR11515134	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	29O		PAIRED	AMPLICON	METAGENOMIC	PCR	25670	14753118	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	29O	515YF-926R-P1-50-29O_R1.fastq.gz	3444291;4874300	c75a73a4273b261491bfbb71e806b64f;44ab0d7deab7435418ae85e9d740e691	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/034/SRR11515134/SRR11515134_2.fastq.gz							8921661	1150870e1c76943606172a6efded96c3	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/034/SRR11515134	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/034/SRR11515134	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/034/SRR11515134				29O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565166	SRS6454282	SRX8086805	SRR11515135	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	25O		PAIRED	AMPLICON	METAGENOMIC	PCR	53500	30730135	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	25O	515YF-926R-P1-50-25O_R1.fastq.gz	6749542;9785248	63632805eea9be62b4e3e2d459bfdf1a;4410e66967368bd8c8c1672a0e1d69d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/035/SRR11515135/SRR11515135_2.fastq.gz							18637827	8599ff2861941936e1970f97fce45622	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/035/SRR11515135	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/035/SRR11515135	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/035/SRR11515135				25O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565165	SRS6454281	SRX8086804	SRR11515136	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	1O		PAIRED	AMPLICON	METAGENOMIC	PCR	22596	13120637	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	1O	515YF-926R-P1-50-1O_R1.fastq.gz	3218498;4526821	37acf64bb1d5f9936f37215b0f1b6aad;74b120767dda48d21ae20e2557fadea0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/036/SRR11515136/SRR11515136_2.fastq.gz							8114712	5ecce6b284ac09448c8805a6500440ce	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/036/SRR11515136	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/036/SRR11515136	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/036/SRR11515136				1O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565164	SRS6454279	SRX8086803	SRR11515137	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	10O		PAIRED	AMPLICON	METAGENOMIC	PCR	22842	13176783	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	10O	515YF-926R-P1-50-10O_R1.fastq.gz	3153542;4390568	988ccc9c7b61f7eb36c92a5c91959928;359cc656dc00015969de38a078827f68	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/037/SRR11515137/SRR11515137_2.fastq.gz							7956590	dc1182af8d2b43c75778a217e87db452	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/037/SRR11515137	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/037/SRR11515137	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/037/SRR11515137				10O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565163	SRS6454280	SRX8086802	SRR11515138	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	8L		PAIRED	AMPLICON	METAGENOMIC	PCR	23786	13758414	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	8L	515YF-926R-P3-50-8L_R1.fastq.gz	3294652;4637537	4dfc05284c709ea19302e66e7e306d89;6826f2254a96e8b05dbccf97dceaac92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/038/SRR11515138/SRR11515138_2.fastq.gz							8349962	43c00796d676a325cc26beea33df338b	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/038/SRR11515138	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/038/SRR11515138	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/038/SRR11515138				8L		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565162	SRS6454278	SRX8086801	SRR11515139	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	5L		PAIRED	AMPLICON	METAGENOMIC	PCR	20229	11742580	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	5L	515YF-926R-P3-50-5L_R1.fastq.gz	2935798;4051258	61721d291b7955138f8e076bfbc12531;1842e7393023bba0df90245b091eedd9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/039/SRR11515139/SRR11515139_2.fastq.gz							7223408	cca82dbc8170ad297e82ffba2993a62a	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/039/SRR11515139	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/039/SRR11515139	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/039/SRR11515139				5L		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565161	SRS6454277	SRX8086800	SRR11515140	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	28L		PAIRED	AMPLICON	METAGENOMIC	PCR	57015	32852219	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	28L	515YF-926R-P3-50-28L_R1.fastq.gz	8043642;11105422	7a9b6f77ca1243ec36a45ffc197573b2;0e385b93518f6344b9387527a86b5a98	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/040/SRR11515140/SRR11515140_2.fastq.gz							19673633	bcbbfed315cd28ba848477800ec2f043	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/040/SRR11515140	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/040/SRR11515140	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/040/SRR11515140				28L		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565223	SRS6454275	SRX8086799	SRR11515141	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a27O		PAIRED	AMPLICON	METAGENOMIC	PCR	95377	54784229	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a27O	515YF-926R-P3-50-a27NFO_R1.fastq.gz	13384415;18517930	5b5ebe9b3872d914b3b18c3fa785d42e;d3505eb0854681d24aa8821cb9002044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/041/SRR11515141/SRR11515141_2.fastq.gz							32912256	1f2ec17799464757d736687258024cda	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/041/SRR11515141	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/041/SRR11515141	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/041/SRR11515141				a27O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565222	SRS6454274	SRX8086798	SRR11515142	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a24O		PAIRED	AMPLICON	METAGENOMIC	PCR	64685	37291874	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a24O	515YF-926R-P3-50-a24NFO_R1.fastq.gz	8632701;12308984	7885fb41edb94c482ada6f0c93c47715;5ba887446ec728a73f2ad06c76a9e95f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/042/SRR11515142/SRR11515142_2.fastq.gz							22421658	03f6dd15a5e1e7710a504d6a33b17e25	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/042/SRR11515142	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/042/SRR11515142	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/042/SRR11515142				a24O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565221	SRS6454276	SRX8086797	SRR11515143	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a18O		PAIRED	AMPLICON	METAGENOMIC	PCR	9672	5599086	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a18O	515YF-926R-P3-50-a18NFO_R1.fastq.gz	976600;1506870	2e190084af2c27b3d8e9df1e2ebc7e5a;2da867db4e5740f4b951eddefd7cdfe6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/043/SRR11515143/SRR11515143_2.fastq.gz							3406016	8210191868ddb41b2d5b12ea6bff91b4	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/043/SRR11515143	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/043/SRR11515143	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/043/SRR11515143				a18O		dog skin microbiome		2020-04-14
PRJNA624030	SRP255796	SAMN14565220	SRS6454273	SRX8086796	SRR11515144	SRA1064060	1338477	skin metagenome	ILLUMINA	Illumina MiSeq	a15O		PAIRED	AMPLICON	METAGENOMIC	PCR	30640	17781275	SUB7061649	2020-04-14	2020-04-14	Illumina MiSeq sequencing; amplicon data bacterial dog skin microbiome	Dog skin microbiome	PRJNA624030	a15O	515YF-926R-P3-50-a15NFO_R1.fastq.gz	3962686;5811709	a8ca103a3ae8cbe12e213f8d99197a7e;ba6914f5e528992d30c959f10af5f07f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR115/044/SRR11515144/SRR11515144_2.fastq.gz							11019331	055ac9f0fad2bbff7ac9d190ce09e206	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/044/SRR11515144	fasp.sra.ebi.ac.uk:/vol1/srr/SRR115/044/SRR11515144	ftp.sra.ebi.ac.uk/vol1/srr/SRR115/044/SRR11515144				a15O		dog skin microbiome		2020-04-14
