sample_name	canine_atopic_dermatitis_extent_and_severity_index_4	collection_timestamp	description	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_health_status	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	household_id	latitude	longitude	oclacitinib	pruritus_visual_analog_scale	qiita_study_id	sample_type	scientific_name	sex	taxid
13434.2O	0	2016-02-18	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Giessen	10	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	2	9615	35	kilograms	1	50.583832	8.677890	did not receive	8	13434	skin	skin metagenome	male	1338477
13434.5A	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	5	9615	34	kilograms	2	50.592500	8.958210	did not receive	2	13434	skin	skin metagenome	male castrated	1338477
13434.5INT	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	5	9615	34	kilograms	2	50.592500	8.958210	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.5L	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	5	9615	34	kilograms	2	50.592500	8.958210	did not receive	8	13434	skin	skin metagenome	female	1338477
13434.5O	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	5	9615	34	kilograms	2	50.592500	8.958210	did not receive	7	13434	skin	skin metagenome	female	1338477
13434.6A	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	6	9615	37	kilograms	2	50.592500	8.958210	did not receive	0	13434	skin	skin metagenome	male castrated	1338477
13434.6INT	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	6	9615	37	kilograms	2	50.592500	8.958210	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.6L	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	6	9615	37	kilograms	2	50.592500	8.958210	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.6O	0	2016-03-10	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Gruenberg	7	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	6	9615	37	kilograms	2	50.592500	8.958210	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.7A	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	9	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	7	9615	32	kilograms	1	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.7INT	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	9	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	7	9615	32	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.7L	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	9	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	7	9615	32	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.7O	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	9	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	7	9615	32	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.8A	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	7	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	non-allergic	Canis lupus familiaris	8	9615	38	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	female sprayed	1338477
13434.8INT	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	7	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	non-allergic	Canis lupus familiaris	8	9615	38	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.8L	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	7	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	non-allergic	Canis lupus familiaris	8	9615	38	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.8O	0	2016-04-19	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Lich	7	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	non-allergic	Canis lupus familiaris	8	9615	38	kilograms	3	50.520771	8.816620	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A12A	9	2016-04-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	5	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	12	9615	32.8	kilograms	7	50.163380	8.978340	did not receive	4	13434	skin	skin metagenome	female	1338477
13434.A12INT	9	2016-04-20	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Offenbach	5	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	12	9615	32.8	kilograms	7	49.624222	7.550560	did not receive	2	13434	skin	skin metagenome	female	1338477
13434.A12L	9	2016-04-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	5	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	12	9615	32.8	kilograms	7	50.163380	8.978340	did not receive	2	13434	skin	skin metagenome	female	1338477
13434.A12O	9	2016-04-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	5	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	12	9615	32.8	kilograms	7	50.163380	8.978340	did not receive	8	13434	skin	skin metagenome	male	1338477
13434.A13A	11	2016-05-03	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	2	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	13	9615	31	kilograms	7	50.163380	8.978340	did not receive	2	13434	skin	skin metagenome	male castrated	1338477
13434.A13INT	11	2016-05-03	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	2	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	13	9615	31	kilograms	7	50.163380	8.978340	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A13L	11	2016-05-03	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	2	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	13	9615	31	kilograms	7	50.163380	8.978340	did not receive	8	13434	skin	skin metagenome	female	1338477
13434.A13O	11	2016-05-03	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	2	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	13	9615	31	kilograms	7	50.163380	8.978340	did not receive	7	13434	skin	skin metagenome	female	1338477
13434.A14A	2	2016-05-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Bruchkoebel	7	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	14	9615	41.3	kilograms	10	50.178720	8.919170	did not receive	0	13434	skin	skin metagenome	male castrated	1338477
13434.A14INT	2	2016-05-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Bruchkoebel	7	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	14	9615	41.3	kilograms	10	50.178720	8.919170	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A14L	2	2016-05-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Bruchkoebel	7	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	14	9615	41.3	kilograms	10	50.178720	8.919170	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A14O	2	2016-05-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Bruchkoebel	7	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	14	9615	41.3	kilograms	10	50.178720	8.919170	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A15A	8	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	10	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	15	9615	31	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	female	1338477
13434.A15INT	8	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	10	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	15	9615	31	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	female	1338477
13434.A15L	8	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	10	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	15	9615	31	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	male	1338477
13434.A15O	8	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	10	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	15	9615	31	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	male	1338477
13434.A16A	10	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	6	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	16	9615	38	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	female sprayed	1338477
13434.A16INT	10	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	6	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	16	9615	38	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	male	1338477
13434.A16L	10	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	6	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	16	9615	38	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	female	1338477
13434.A16O	10	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Linsengericht	6	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	16	9615	38	kilograms	8	50.186930	9.196090	received	0	13434	skin	skin metagenome	male	1338477
13434.A17A	7	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Biebertal	4	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	17	9615	37.2	kilograms	11	50.621760	8.596850	received	0	13434	skin	skin metagenome	male	1338477
13434.A17INT	7	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Biebertal	4	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	17	9615	37.2	kilograms	11	50.621760	8.596850	received	8	13434	skin	skin metagenome	female	1338477
13434.A17L	7	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Biebertal	4	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	17	9615	37.2	kilograms	11	50.621760	8.596850	received	5	13434	skin	skin metagenome	female	1338477
13434.A17O	7	2016-05-25	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Biebertal	4	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	17	9615	37.2	kilograms	11	50.621760	8.596850	received	4	13434	skin	skin metagenome	female	1338477
13434.A18A	4	2016-06-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Muecke	4	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	18	9615	39.6	kilograms	12	50.626190	9.028190	received	4	13434	skin	skin metagenome	female	1338477
13434.A18INT	4	2016-06-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Muecke	4	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	18	9615	39.6	kilograms	12	50.626190	9.028190	received	2	13434	skin	skin metagenome	female	1338477
13434.A18L	4	2016-06-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Muecke	4	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	18	9615	39.6	kilograms	12	50.626190	9.028190	received	2	13434	skin	skin metagenome	female	1338477
13434.A18O	4	2016-06-08	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Muecke	4	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	18	9615	39.6	kilograms	12	50.626190	9.028190	received	8	13434	skin	skin metagenome	male	1338477
